ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
141133	Nanga	ask	táŋ.ɡí	1309
141135	Nanga	ask	úsí	1309
143661	Mombo_Dogon	ask	sari	1309
144075	Mombo_Dogon	ask	saru	1309
145804	Mombo_Dogon	ask	saruɡɔ	1309
146800	Nanga	ask	úsí	1309
148840	Donno_So_Dogon	ask	tubɔtubɔ	1309
149712	Ampari_Dogon	ask	sa.atu	1309
152113	Toro_Tegu_Dogon	ask	úsó	1309
152114	Toro_Tegu_Dogon	ask	úsú	1309
152139	Toro_Tegu_Dogon	ask	ɡɔ̀wɔ́##ɡɔ̀.ɔ́	1309
152140	Toro_Tegu_Dogon	ask	ɡɔ̀wɔ́	1309
152141	Toro_Tegu_Dogon	ask	ɡɔ̌w	1309
156213	Toro_Tegu_Dogon	ask	úsó	1309
156214	Toro_Tegu_Dogon	ask	úsú	1309
160140	Toro_Tegu_Dogon	ask	úsó	1309
160141	Toro_Tegu_Dogon	ask	úsú	1309
160793	Toro_Tegu_Dogon	ask	úsó	1309
160794	Toro_Tegu_Dogon	ask	úsú	1309
161429	Tiranige_Diga_Dogon	ask	úd.ʒárí#úd.ʒáró	1309
161697	Dogul_Dom_Dogon	ask	ɡɛ̀ŋɛ́	1309
162002	Dogul_Dom_Dogon	ask	túbɛ̀	1309
162939	Donno_So_Dogon	ask	túbɛ̀	1309
162940	Donno_So_Dogon	ask	túbɔ̀	1309
162941	Donno_So_Dogon	ask	tùbɔ́#kún.dò	1309
1538	Guru_(Mali)	axe	sɛ̂j.n	677
3422	Guru_(Mali)	axe	ɡùrɔ́	677
5100	Bankan_Tey_Dogon	axe	sɔ́.ɔ́	677
5101	Bankan_Tey_Dogon	axe	sɔ́.ɔ́	677
5121	Bankan_Tey_Dogon	axe	ɡàm.bùrù-ká	677
5126	Bankan_Tey_Dogon	axe	màpá.árú	677
5859	Togo_Kan	axe	kɔ̀tɔ́	677
5870	Togo_Kan	axe	ɡùrɔ́	677
8310	Bankan_Tey_Dogon	axe	sɔ̀.ɔ̀-ár.nà	677
9120	Toro_Tegu_Dogon	axe	ɡùwá	677
10024	Togo_Kan	axe	tàɡù-báná	677
10925	Togo_Kan	axe	tàɡù-báná	677
12079	Toro_Tegu_Dogon	axe	làwrěj	677
12228	Toro_Tegu_Dogon	axe	làwrěj	677
13968	Togo_Kan	axe	léwré	677
15911	Toro_Tegu_Dogon	axe	sɔ́ɡɔ́	677
16380	Togo_Kan	axe	ɡùrɔ̀#jà.á	677
16435	Togo_Kan	axe	ɡùrɔ̀#àr.ná	677
16820	Toro_Tegu_Dogon	axe	sɔ́ɡɔ́	677
20962	Donno_So_Dogon	axe	ɔ̀nɔ́	677
20963	Donno_So_Dogon	axe	ɡùlɔ́	677
23103	Donno_So_Dogon	axe	ɡùlɔ̀#jà.á	677
24146	Donno_So_Dogon	axe	lòbù-làbú	677
24981	Donno_So_Dogon	axe	ɡùlɔ̀#àná	677
25404	Toro_Tegu_Dogon	axe	kɔ̀rɔ́	677
25405	Toro_Tegu_Dogon	axe	wòɡú	677
25406	Toro_Tegu_Dogon	axe	sɔ́ɡɔ́	677
26087	Penange	axe	kɔ̀rɔ̀ɡɔ̀	677
26088	Penange	axe	ábjè	677
28627	Penange	axe	ɡùlɔ̀	677
30962	Mombo_Dogon	axe	d.ʒábú-d.ʒábú	677
